team_name,team_ID,team_state,team_division,team_division_ID,team_conference,team_conference_ID
Universite de Sherbrooke,10010798,QC,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Université du Québec à Trois-Rivières,10003224,PQ,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
Université Laval ,10003225,PQ,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University at Buffalo,185,NY,Division 1,1,Mid-American,mac
University of Alabama,65,AL,Division 1,1,SEC,sec
University of Alaska-Anchorage,10002635,AK,NONE,NONE,NONE,NONE
University of Alaska-Fairbanks,528,AK,Division 2,2,PCSC,paccoast
University of Albany,10002636,NY,NONE,NONE,NONE,NONE
University of Alberta,10003226,AB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Arizona,120,AZ,Division 1,1,Pac 12,pac-12
University of Arkansas-Fayetteville,47,AR,Division 1,1,SEC,sec
University of Arkansas-Little Rock,216,AR,Division 1,1,Missouri Valley,mvc
University of Bridgeport,357,CT,NONE,NONE,NONE,NONE
University of British Columbia,10003227,BC,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of Calgary,10003228,AB,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL,INTERNATIONAL
University of California-Berkeley,110,CA,Division 1,1,Pac 12,pac-12
University of California-Davis,192,CA,Division 1,1,MPSF,mpsf
University of California-Irvine,206,CA,NONE,NONE,NONE,NONE
University of California-Riverside,10002645,CA,NONE,NONE,NONE,NONE
University of California-San Diego,121,CA,Division 1,1,MPSF,mpsf
University of California-Santa Barbara,194,CA,Division 1,1,MPSF,mpsf
University of California-Santa Cruz,182,CA,Division 3,3,PCSC,paccoast
University of Charleston,10009169,SC,NONE,NONE,NONE,NONE
University of Chicago,259,IL,Division 3,3,UAA,uaa
University of Cincinnati,260,OH,Division 1,1,American Athletic,american
University of Connecticut,28,CT,Division 1,1,Big East,bigeast
University of Delaware,275,DE,Division 1,1,Colonial,caa
University of Denver,276,CO,Division 1,1,Summit,summit
University of Evansville,240,IN,Division 1,1,Mid-American,mac
University of Findlay,242,OH,Division 2,2,GMAC,GMAC
University of Florida,117,FL,Division 1,1,SEC,sec
University of Georgia,124,GA,Division 1,1,SEC,sec
